영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Cecil Airport,세실 공항,VQQ,KVQQ,북미캐나다,United States,미국,Jacksonville
Cedar City Regional Airport,시더 시티 공항,CDC,KCDC,북미캐나다,United States,미국,Cedar City
Ceduna Airport,세두나 공항,CED,YCDU,대양주,Australia,오스트레일리아,Ceduna
Cengiz Topel Naval Air Station,첸기즈 토펠 해군 비행장,KCO,LTBQ,유럽,Turkey,터키,Kocaeli
Centennial Airport,센테니얼 공항,APA,KAPA,북미캐나다,United States,미국,Denver
Central Airport,센트럴 공항,CEM,PACE,북미캐나다,United States,미국,Central
Central Illinois Regional Airport,센트럴 일리노이 공항,BMI,KBMI,북미캐나다,United States,미국,Bloomington
Central Nebraska Regional Airport,센트럴 네브래스카 공항,GRI,KGRI,북미캐나다,United States,미국,Grand Island
Central Wisconsin Airport,센트럴 위스콘신 공항,CWA,KCWA,북미캐나다,United States,미국,Mosinee
Central Wyoming Regional Airport,센트럴 와이오밍 공항,RIW,KRIW,북미캐나다,United States,미국,Riverton
Cerro Moreno International Airport,세로 모레노 국제 공항,ANF,SCFA,중남미,Chile,칠레,Antofagasta
Cesar Lim Rodriguez Airport,세자르 림 로드리게스 공항,RZP,RPSD,아시아태평양,Philippines,필리핀,Taytay
Cesaria evora Airport,체사리아 에보라 공항,VXE,GVSV,중동아프리카,Cape Verde,카보베르데,Sao Vicente
Ceske Budejovice Airport,체스케부데요비체 공항,JCL,LKCS,유럽,Czechia,체코,Ceske Budejovice
CFB Cold Lake,CFB 콜드 레이크 ,YOD,CYOD,북미캐나다,Canada,캐나다,Cold Lake
CFB Goose Bay,CFB 구스베이,YYR,CYYR,북미캐나다,Canada,캐나다,GooseBay
Chacalluta International Airport,차칼루타 국제공항,ARI,SCAR,중남미,Chile,칠레,Arica
Chachapoyas Airport,차차포야스 공항,CHH,SPPY,중남미,Peru,페루,Chachapoyas
Chadron Municipal Airport,채드런 시립공항,CDR,KCDR,북미캐나다,United States,미국,Chadron
Chafei Amsei Airport,차페이 암세이 공항,BAT,SNBA,중남미,Brazil,브라질,Barretos
Chaghcharan Airport,차차란 공항,CCN,OACC,중동아프리카,Afghanistan,아프가니스탄,Chaghcharan
Chaiten Airport,차이텐 공항,n/a,SCTN,중남미,Chile,칠레,Chaiten
Chalkyitsik Airport,찰키칙 공항,CIK,PACI,북미캐나다,United States,미국,Chalkyitsik
Chalons Vatry Airport,샬롱 배트리 공항,XCR,LFOK,유럽,France,프랑스,Vatry
Chambery Savoie Airport,샹베리 액스레뱅 공항,CMF,LFLB,유럽,France,프랑스,Chambery
Chandigarh Airport,찬디가르 공항,IXC,VICG,아시아태평양,India,인도,Chandigarh
