영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,ACoruna
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg
Aarhus Airport,오르후스 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus
Aasiaat Airport,아시아앗 공항,JEG,BGAA,유럽,Greenland,그린란드,Aasiaat
Aba Segud Airport,아바 세구드 공항,JIM,HAJM,중동아프리카,Ethiopia,이디오피아,Jimma
Aba Tenna Dejazmach Yilma International Airport,아바 테나 데자즈마흐 일마 국제공항,DIR,HADR,중동아프리카,Ethiopia,이디오피아,Dire Dawa
Abadan Airport,아바단 공항,ABD,OIAA,중동아프리카,Iran,이란,Abadan
Abaiang Airport,아바이앙 공항,ABF,NGAB,아시아태평양,Kiribati,키리바시,Abaiang
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russia,러시아,Abakan
Abbotsford International Airport,애버츠퍼드 국제공항,YXX,CYXX,북미캐나다,Canada,캐나다,Abbotsford
Abdelhafid Boussouf Bou Chekif Airport,압델하피드 부수프 부 체키프 공항,TID,DAOB,중동아프리카,Algeria,알제리,Tiaret
Abdul Rachman Saleh Airport,압둘 라흐만 살레 공항,MLG,WARA,아시아태평양,Indonesia,인도네시아,Malang
Abdullahi Yusuf International Airport,압둘라히 유수프 국제공항,GLK,HCMR,중동아프리카,Somalia,소말리아,Galkayo
Abeche Airport,아베셰 공항,AEH,FTTC,중동아프리카,Chad,차드,Abeche
Abeid Amani Karume International Airport,아베이드 아마니 카루메 국제공항,ZNZ,HTZA,중동아프리카,Tanzania,탄자니아,Zanzibar
Abel SantamarIa Airport,아벨 산타마리아 공항,SNU,MUSC,중남미,Cuba,쿠바,Santa Clara
Abemama Atoll Airport,아베마마 아톨 공항,AEA,NGTB,아시아태평양,Kiribati,키리바시,Abemama Atoll
Aberdeen International Airport,애버딘 국제공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen
Aberdeen Regional Airport,애버딘 지역 공항,ABR,KABR,북미캐나다,United States,미국,Aberdeen
Abha Regional Airport,아바 공항,AHB,OEAB,중동아프리카,Saudi Arabia,사우디아라비아,Abha
Abilene Regional Airport,애빌린 지역 공항,ABI,KABI,북미캐나다,United States,미국,Abilene
Abraham Gonzalez International Airport,아브라함 곤잘레스 국제 공항,CJS,MMCS,중남미,Mexico,멕시코,Ciudad Juarez
Abraham Lincoln Capital Airport,에이브러햄 링컨 캐피털 공항,SPI,KSPI,북미캐나다,United States,미국,Springfield
Abruzzo Airport,아브루초 공항,PSR,LIBP,유럽,Italy,이탈리아,Pescara
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi
Abu Musa Airport,아부무사 공항,AEU,OIBA,중동아프리카,Iran,이란,Abu Musa Island
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,중동아프리카,Egypt,이집트,Abu Simbel
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,북미캐나다,United States,미국,Iberia
Acandi Alcides Fernandez Airport,아칸디 알시데스 페르난데스 공항,ACD,SKAD,중남미,Colombia,콜롬비아,Acandi
Acapulco Alvarez International Airport,아카풀코 알바레스 국제공항,ACA,MMAA,중남미,Mexico,멕시코,Acapulco
Accra Kotoka International Airport,아크라 코토카 국제공항,ACC,DGAA,중동아프리카,Ghana,가나,Accra
Achmad Yani International Airport,아흐마드 야니 국제공항,SRG,WAHS,아시아태평양,Indonesia,인도네시아,Semarang
Achutupo Airport,아추투포 공항,ACU,n/a,중남미,Panama,파나마,Achutupo
Adado Airport,아다도 공항,AAD,HCAD,중동아프리카,Somalia,소말리아,Adado
Adak Island Naval Airport,아다크 섬 해군 공항,ADK,PADK,북미캐나다,United States,미국,Adak Island
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아태평양,India,인도,Adampur
Adana Sakirpasa Airport,아다나 사키르파사 공항,ADA,LTAF,유럽,Turkey,터키,Adan
Addis Ababa Bole International Airport,아디스아바바 볼레 국제공항,ADD,HAAB,중동아프리카,Ethiopia,이디오피아,Addis Ababa
Addison Airport,애디슨 공항,ADS,KADS,북미캐나다,United States,미국,Dallas
Adelaide Airport,애들레이드 공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide
Adelaide Parafield Airport,애들레이드 파라필드 공항,n/a,YPPF,대양주,Australia,오스트레일리아,Adelaide
Aden Adde International Airport,아덴 아데 국제 공항,MGQ,HCMM,중동아프리카,Somalia,소말리아,Mogadishu
Aden International Airport,아덴 국제공항,ADE,OYAA,중동아프리카,Yemen,예멘,Aden
Adirondack Regional Airport,애디론댁 공항,SLK,KSLK,북미캐나다,United States,미국,Saranac Lake
Adisucipto International Airport,아디수킵토 국제 공항,JOG,WARJ,아시아태평양,Indonesia,인도네시아,Yogyakarta
Adisumarmo International Airport,아디수마르모 국제공항,SOC,WARQ,아시아태평양,Indonesia,인도네시아,Surakarta
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adiyaman
Adolfo Suarez Madrid Barajas Airport,아돌포 수아레스 마드리드 바라하스 공항,MAD,LEMD,유럽,Spain,스페인,Madrid
Adrar Touat Airport,아두라르 투아 공항,AZR,DAUA,중동아프리카,Algeria,알제리,Adrar
Aek Godang Airport,애크고당공항,AEG,WIME,아시아태평양,Indonesia,인도네시아,Padang Sidempuan
Afonso Pena International Airport,아폰소 페나 국제 공항,CWB,SBCT,중남미,Brazil,브라질,Curitiba
Afutara Airport,아푸타라 공항,AFT,AGAF,아시아태평양,Solomon Islands,솔로몬 제도,Afutara
Agadir Al Massira Airport,아가디르 알 마시라 공항,AGA,GMAD,중동아프리카,Morocco,모로코,Agadir
Agartala Airport,아가탈라 공항,IXA,VEAT,아시아태평양,India,인도,Agartala
Agatti Aerodrome,아가티 비행장,AGX,VOAT,아시아태평양,India,인도,Agatti Island
Agen La Garenne Airport,아겐 라 가렌느 공항,AGF,LFBA,유럽,France,프랑스,Agen
Agra Airport,아그라 공항,AGR,VIAG,아시아태평양,India,인도,Agra
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agri
Aguachica Hacaritama Airport,아과치카 하카리타마 공항,HAY,SKAG,중남미,Colombia,콜롬비아,Aguachica
Aguaclara Airport,아과클라라 공항,ACL,n/a,중남미,Colombia,콜롬비아,Aguaclara
Aguas Claras Airport,아구아스 클라라스 공항,OCV,SKOC,중남미,Colombia,콜롬비아,Ocana
Aguni Airport,아구니 공항,AGJ,RORA,아시아태평양,Japan,일본,Aguni
Ahe Airport,아헤 공항,AHE,NTHE,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ahe
Ahvaz International Airport,아바즈 국제 공항,AWZ,OIAW,중동아프리카,Iran,이란,Ahvaz
Ailinglaplap Airok Airport,아이링라플랍 아이록 공항,AIC,n/a,아시아태평양,Marshall Islands,마샬 군도,Airok
Ailuk Airport,아일룩 공항,AIM,n/a,아시아태평양,Marshall Islands,마샬 군도,Ailuk Atoll
Ain Arnat Airport,아인 아르나트 공항,QSF,DAAS,중동아프리카,Algeria,알제리,Setif
Ain Beida Airport,아인 베이다 공항,OGX,DAUU,중동아프리카,Algeria,알제리,Ouargla
Air Force Base Hoedspruit,공군 기지 호즈프룻,HDS,FAHS,중동아프리카,South Africa,남아프리카,Hoedspruit
Aitutaki Airport,아이투타키 공항,AIT,NCAI,아시아태평양,Cook Islands,쿡 군도,Aitutaki
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio
Aji Pangeran Tumenggung Pranoto International Airport,아지 프린스 투멍궁 프라노토 국제공항,AAP,WALS,아시아태평양,Indonesia,인도네시아,Samarinda
Ajmer Kishangarh Airport,아지메르 키샨가르 공항,KQH,VIKG,아시아태평양,India,인도,Kishangarh
Akanu Ibiam International Airport,아카누 이비암 국제공항,ENU,DNEN,중동아프리카,Nigeria,나이지리아,Enugu
Akhiok Airport,아키오크 공항,AKK,PAKH,북미캐나다,United States,미국,Akhiok
Akiachak Airport,아키아착 공항,KKI,n/a,북미캐나다,United States,미국,Akiachak
Akiak Airport,아키악 공항,AKI,PFAK,북미캐나다,United States,미국,Akiak
Akita Airport,아키타 공항,AXT,RJSK,아시아태평양,Japan,일본,Akita
Aklavik Airport,아클라비크 공항,LAK,CYKD,북미캐나다,Canada,캐나다,Aklavik
Akola Airport,아콜라 공항,AKD,VAAK,아시아태평양,India,인도,Akola
Akron Canton Airport,애크런 캔턴 공항,CAK,KCAK,북미캐나다,United States,미국,Akron
Aksu Airport,악수 공항,AKU,ZWAK,아시아태평양,China,중국,Aksu
Aktau Airport,악타우 공항,SCO,UATE,아시아태평양,Kazakhstan,카자흐스탄,Aktau
Aktion National Airport,악티온 국립 공항,PVK,LGPZ,유럽,Greece,그리스,Preveza-Lefkada
Aktobe Airport,악토베 공항,AKX,UATT,아시아태평양,Kazakhstan,카자흐스탄,Aktobe
Akulivik Airport,아쿨리비크 공항,AKV,CYKO,북미캐나다,Canada,캐나다,Akulivik
Akure Airport,아쿠레 공항,AKR,DNAK,중동아프리카,Nigeria,나이지리아,Akure
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri
Akutan Airport,아쿠탄 공항,KQA,PAUT,북미캐나다,United States,미국,Akutan
Al Abraq International Airport,알 아브라크 국제공항,LAQ,HLLQ,중동아프리카,Libya,리비아,Bayda
Al Ahsa International Airport,알아사 국제공항,HOF,OEAH,중동아프리카,Saudi Arabia,사우디아라비아,Hofuf
Al Ain International Airport,알 아인 국제공항,AAN,OMAL,중동아프리카,United Arab Emirates,아랍에미레이트,Al Ain
Al Alamain International Airport,알 알라마인 국제공항,DBB,HEAL,중동아프리카,Egypt,이집트,El Alamein
Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,AZI,OMAD,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi
Al Diwaniya Airport,알 디와니야 공항,n/a,n/a,중동아프리카,Iraq,이라크,Al-Qadisiyah
Al Ghaydah Airport,알가이다 공항,AAY,n/a,중동아프리카,Yemen,예멘,Al Ghaydah
Al Hamra Seaplane Base,알 함라 수상비행기 기지,RHR,n/a,중동아프리카,United Arab Emirates,아랍에미레이트,AlHamra
Al Jawf Domestic Airport,알 자우프 국내선 공항,AJF,OESK,중동아프리카,Saudi Arabia,사우디아라비아,Sakakah
Al Maktoum International Airport,알 막툼 국제 공항,DWC,OMDW,중동아프리카,United Arab Emirates,아랍에미레이트,Dubai
Al Najaf International Airport,알 나자프 국제 공항,NJF,ORNI,중동아프리카,Iraq,이라크,Al Najaf
Al Qadisiyah/Diwaniya Airport,알 카디시야/디와니야 공항,n/a,n/a,중동아프리카,Iraq,이라크,Al-Diwaniyah
Al Qaisumah/Hafr Al Batin Airport,알 카이수마/하프르 알 바틴 공항,AQI,OEPA,중동아프리카,Saudi Arabia,사우디아라비아,Qaisumah-Hafar al-Batin
Al Wajh Domestic Airport,알 와즈 국내선 공항,EJH,OEWJ,중동아프리카,Saudi Arabia,사우디아라비아,Al Wajh
Alakanuk Airport,알라카누크 공항,AUK,PAUK,북미캐나다,United States,미국,Alakanuk
Alamogordo White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,ALM,KALM,북미캐나다,United States,미국,Alamogordo
Alar Talimu Airport,알라르 탈리무 공항,ACF,ZWAL,아시아태평양,China,중국,Alar
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete
Al-Baha Al-Aqiq Airport,알바하 알아키크 공항,ABT,OEBA,중동아프리카,Saudi Arabia,사우디아라비아,Al-Baha
Albano Machado Airport,알바노 마차도 공항,NOV,FNHU,중동아프리카,Angola,앙골라,Huambo
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany
Albany International Airport,올버니 국제 공항,ALB,KALB,북미캐나다,United States,미국,Albany
Alberni Valley Regional Airport,알버니 밸리 지역공항,YPB,n/a,북미캐나다,Canada,캐나다,Port Alberni
Albert J. Ellis Airport,앨버트 J. 엘리스 공항,OAJ,KOAJ,북미캐나다,United States,미국,Jacksonville
Albert Picardie Airport,알버트 피카르디 공항,BYF,LFAQ,유럽,France,프랑스,Albert
Alberto Alcolumbre International Airport,알베르토 알콜룸브레 국제공항,MCP,SBMQ,중남미,Brazil,브라질,Macapa
Alberto Carnevalli Airport,알베르토 카르네발리 공항,MRD,SVMD,중남미,Venezuela,베네수엘라,Merida
Albrook International Airport,알브룩 국제공항,PAC,MPMG,중남미,Panama,파나마,Panama City
Albuquerque International Sunport Airport,앨버커키 국제 선포트 공항,ABQ,KABQ,북미캐나다,United States,미국,Albuquerque
Albury Airport,앨버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury
AlcantarI Airport,알칸타리 공항,SRE,SLAL,중남미,Bolivia,볼리비아,Sucre
Aldan Airport,알단 공항,ADH,UEEA,유럽,Russia,러시아,Aldan
Alderney Airport,올더니 공항,ACI,EGJA,유럽,Guernsey,건지,Alderney
Alegrete Airport,알레그레테 공항,ALQ,SSLT,중남미,Brazil,브라질,Alegrete
Alejandro Velasco Astete International Airport,알레한드로 벨라스코 아스테테 국제공항,CUZ,SPZO,중남미,Peru,페루,Cusco
Aleknagik Airport,알렉나직 공항,WKK,n/a,북미캐나다,United States,미국,Aleknagik
Aleppo International Airport,알레포 국제 공항,ALP,OSAP,중동아프리카,Syria,시리아,Aleppo
Alesund Airport,올레순비그라 공항,AES,ENAL,유럽,Norway,노르웨이,alesund
Alexandra Aerodrome,알렉산드라 비행장,ALR,NZLX,아시아태평양,New Zealand,뉴질랜드,Alexandra
Alexandria International Airport,알렉산드리아 국제 공항,AEX,KAEX,북미캐나다,United States,미국,Alexandria
Alexandroupoli Airport,알렉산드로폴리 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupoli
Alferez FAP David Figueroa Fernandini Airport,알페레스 FAP 다비드 피게로아 페르난디니 공항,HUU,SPNC,중남미,Peru,페루,Huanuco
Alfonso Bonilla Aragon International Airport,알폰소 보닐라 아라곤 국제 공항,CLO,SKCL,중남미,Colombia,콜롬비아,Cali
Alfonso Lopez Pumarejo Airport,알폰소 로페스 푸마레호 공항,VUP,SKVP,중남미,Colombia,콜롬비아,Valledupar
Alfredo Vasquez Cobo International Airport,알프레도 바스케스 코보 국제공항,LET,SKLT,중남미,Colombia,콜롬비아,Leticia
Alghero Fertilia Airport,알게로 페르틸리아 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero
Ali Pulan Airport,알리 풀란 공항,APJ,ZUPL,아시아태평양,China,중국,Ali
Ali Sabieh Hassan Gouled Aptidon International Airport,알리 사비에 하산 굴레드 압티돈 국제공항,n/a,n/a,중남미,Djibouti,지부티,Ali-Sabieh
Alicante Elche Airport,알리칸테 엘체 공항,ALC,LEAL,유럽,Spain,스페인,Alicante
Alice International Airport,앨리스 국제 공항,ALI,KALI,북미캐나다,United States,미국,Alice
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs
Aligarh Airport,알리가르 공항,HRH,VIAH,아시아태평양,India,인도,Aligarh
Alitak Seaplane Base,알리탁 수상비행기 기지,ALZ,n/a,북미캐나다,United States,미국,Lazy Bay
Allahabad Airport,알라하바드 공항,IXD,VIAL,아시아태평양,India,인도,Allahabad
Allakaket Airport,알라카켓 공항,AET,PFAL,북미캐나다,United States,미국,Allakaket
Allama Iqbal International Airport,알라마 이크발 국제 공항,LHE,OPLA,중동아프리카,Pakistan,파키스탄,Lahore
Allegheny County Airport,앨러게니 카운티 공항,AGC,KAGC,북미캐나다,United States,미국,Pittsburgh
Alliance Municipal Airport,얼라이언스 공항,AIA,KAIA,북미캐나다,United States,미국,Alliance
Alma Airport,알마 공항,YTF,CYTF,북미캐나다,Canada,캐나다,Alma
Almaty International Airport,알마티 국제 공항,ALA,UAAA,아시아태평양,Kazakhstan,카자흐스탄,Almaty
AlmerIa Airport,알메리아 공항,LEI,LEAM,유럽,Spain,스페인,AlmerIa
Almirante Marcos A. Zar Airport,알미란테 마르코스 A. 자르 공항,REL,SAVT,중남미,Argentina,아르헨티나,Trelew
Almirante Padilla Airport,알미란테 파딜라 공항,RCH,SKRH,중남미,Colombia,콜롬비아,Riohacha
Along Airport,알라오 공항,IXV,VEAN,아시아태평양,India,인도,Along
Alor Island Airport,알로르 아일랜드 공항,ARD,WATM,아시아태평양,Indonesia,인도네시아,Alor Island
Alpena County Regional Airport,앨피너 카운티 공항,APN,KAPN,북미캐나다,United States,미국,Alpena
Alpine Casparis Municipal Airport,알파인 카스파리 시립공항,ALE,n/a,북미캐나다,United States,미국,Alpine
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta
Alta Floresta Airport,알타 플로레스타 공항,AFL,SBAT,중남미,Brazil,브라질,Alta Floresta
Altai Airport,알타이 공항,LTI,ZMAT,아시아태평양,Mongolia,몽골,Altai
Altamira Airport,알타미라 공항,ATM,SBHT,중남미,Brazil,브라질,Altamira
Altay Airport,알타이 공항,AAT,ZWAT,아시아태평양,China,중국,Altay
Alto RIo Senguer Airport,알토 리오 셍구에르 공항,ARR,SAVR,중남미,Argentina,아르헨티나,Alto RIo Senguer
Altoona Blair County Airport,앨투나 블레어 카운티 공항,AOO,KAOO,북미캐나다,United States,미국,Altoona
Alula Aba Nega Airport,알룰라 아바 네가 공항,MQX,HAMK,중동아프리카,Ethiopia,이디오피아,Mekele
Alxa Left Banner Bayanhot Airport,바얀호트 공항,AXF,n/a,아시아태평양,China,중국,Alxa Left Banner
Alxa Right Banner Badanjilin Airport,바단길린 공항,RHT,n/a,아시아태평양,China,중국,Alxa Right Banner
Alykel Airport,알리켈 공항,NSK,UOOO,유럽,Russia,러시아,Norilsk
Alzintan Airport,알진탄 공항,ZIS,HLZN,중동아프리카,Libya,리비아,Zintan
Amado Nervo International Airport,아마도 네르보 국제공항,TPQ,MMEP,중남미,Mexico,멕시코,Tepic
Amakusa Airfield,아마쿠사 비행장,AXJ,RJDA,아시아태평양,Japan,일본,Amakusa
Amami Airport,아마미 공항,ASJ,RJKA,아시아태평양,Japan,일본,Amami
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,유럽,Turkey,터키,Merzifon
Ambala Airport,암발라 공항,n/a,VIAM,아시아태평양,India,인도,Ambala
Ambalabe Airport,암발라베 공항,WAI,FMNW,중동아프리카,Madagascar,마다가스카르,Antsohihy
Ambatomainty Airport,암바토마인티 공항,AMY,n/a,중동아프리카,Madagascar,마다가스카르,Ambatomainty
Ambatondrazaka Airport,암바톤드라자카 공항,WAM,FMMZ,중동아프리카,Madagascar,마다가스카르,Ambatondrazaka
Ambikapur Darima Airport,암비카푸르 다리마 공항,n/a,n/a,아시아태평양,India,인도,Ambikapur
Ambler Airport,앰블러 공항,ABL,PAFM,북미캐나다,United States,미국,Ambler
Amborovy Airport,암보로비 공항,MJN,FMNM,중동아프리카,Madagascar,마다가스카르,Mahajanga
Amboseli Airport,암보셀리 공항,ASV,HKAM,중동아프리카,Kenya,케냐,Amboseli
Ambrolauri Airport,암브롤라우리 공항,n/a,UGAM,아시아태평양,Georgia,조지아,Ambrolauri
Amderma Airport,암데르마 공항,AMV,ULDD,유럽,Russia,러시아,Amderma
Amdjarass Airport,암자라스 공항,n/a,FTAA,중동아프리카,Chad,차드,Amdjarass
Amgu Airport,암구 공항,AEM,n/a,유럽,Russia,러시아,Amgu
AmIlcar Cabral International Airport,아밀카르 카브랄 국제공항,SID,GVAC,중동아프리카,Cape Verde,카보베르데,Sal
Amman Civil Airport,암만 민간공항,ADJ,OJAM,중동아프리카,Jordan,요르단,Amman
Amook Bay Seaplane Base ,아묵 베이 수상비행기 기지,AOS,n/a,북미캐나다,United States,미국,Amook Bay
Ampara Airport,암파라 공항,ADP,VCCG,아시아태평양,Sri Lanka,스리랑카,Ampara
Amravati/Belora Airport,암라바티/벨로라 공항,n/a,n/a,아시아태평양,India,인도,Amravati
Amsterdam AirportSchiphol,암스테르담 스키폴 공항,AMS,EHAM,유럽,Netherlands,네덜란드,Amsterdam
Anaa Airport,아나 공항,AAA,NTGA,아시아태평양,French Polynesia,프랑스령 폴리네시아,Anaa
Anadolu Airport,아나돌루 공항,AOE,LTBY,유럽,Turkey,터키,EskiSehir
Anahim Lake Airport,아나힘 레이크 공항,YAA,CAJ4,북미캐나다,Canada,캐나다,Anahim Lake
Anaktuvuk Pass Airport,아낙투북 패스 공항,AKP,PAKP,북미캐나다,United States,미국,Anaktuvuk Pass
Anambra International Cargo Airport,아남브라 국제화물 공항,ANA,DNAN,중동아프리카,Nigeria,나이지리아,Chinua Achebe
Anapa Vityazevo Airport,아나파 비티아제보 공항,AAQ,URKA,유럽,Russia,러시아,Anapa
Anatom Airport,아톰공항,AUY,NVVA,아시아태평양,Vanuatu,바누아투,Anatom Island
Ancona Falconara Airport,안코나 팔코나라 공항,AOI,LIPY,유럽,Italy,이탈리아,Ancona
Andahuaylas Airport,안다와일라스 공항,ANS,SPHY,중남미,Peru,페루,Andahuaylas
Andamooka Airport,안다무카 공항,ADO,YAMK,대양주,Australia,오스트레일리아,Andamooka
Andavadoaka Airport,안다바도아카 공항,DVD,n/a,중동아프리카,Madagascar,마다가스카르,Andavadoaka
Andi Jemma Airport,안디 젬마 공항,MXB,WAWM,아시아태평양,Indonesia,인도네시아,Masamba
Andimba Toivo ya Toivo Airport,안딤바 토이보 야토이보 공항,OND,FYOA,중동아프리카,Namibia,나미비아,Ondangwa
Andizhan Airport,안디잔 공항,AZN,UTKA,아시아태평양,Uzbekistan,우즈베키스탄,Andizhan
Andoya Airport Andenes,안도야 공항,ANX,ENAN,유럽,Norway,노르웨이,Andenes
Andre Maggi Airport,안드레 마기 공항,OTT,n/a,중남미,Brazil,브라질,Cotriguacu
Andres Miguel Salazar Airport,안드레스 미구엘 살라자르 공항,ICC,SVIE,중남미,Venezuela,베네수엘라,Isla de Coche 
Andrews Field,앤드루스 공군기지,ADW,KADW,북미캐나다,United States,미국,Camp Springs
Andros Town International Airport,안드로스 타운 국제공항,ASD,MYAF,중남미,Bahamas,바하마,Andros Town
Angads Airport,앙가드 공항,OUD,GMFO,중동아프리카,Morocco,모로코,Oujda
Angama Mara Airport,앙가마 마라 공항,ANA,n/a,중동아프리카,Kenya,케냐,Angama Mara
angel Albino Corzo International Airport,앙헬 알비노 코르조 국제공항,TGZ,MMTG,중남미,Mexico,멕시코,Tuxtla Gutierrez
Angelholm Helsingborg Airport,엔겔홀름 헬싱보리 공항,AGH,ESTA,유럽,Sweden,스웨덴,Angelholm
Angers Loire Airport,앙제 루아르 공항,ANE,LFJR,유럽,France,프랑스,Angers
Anglesey Airport,앵글시 공항,VLY,EGOV,유럽,United Kingdom,영국,Anglesey
Angling Lake/Wapekeka Airport,앵글링 레이크/와페케카 공항,YAX,CKB6,북미캐나다,Canada,캐나다,Wapekeka
Angoon Seaplane Base,앙군 수상비행기 기지,AGN,PAGN,북미캐나다,United States,미국,Angoon
Angouleme Cognac International Airport,앙굴렘 코냑 국제공항,ANG,LFBU,유럽,France,프랑스,Angouleme
Angra dos Reis Carmelo Jordao Airport,카르멜로 조르당 공항,GDR,SDAG,중남미,Brazil,브라질,Angra dos Reis
Aniak Airport,아니악 공항,ANI,PANI,북미캐나다,United States,미국,Aniak
Aniwa Airport,아니와 공항,AWD,NVVB,아시아태평양,Vanuatu,바누아투,Aniwa Island
Ankang Wulipu Airport,안캉 울리푸 공항,AKA,ZLAK,아시아태평양,China,중국,Ankang
Ankavandra Airport,앙카반드라 공항,JVA,FMMK,중동아프리카,Madagascar,마다가스카르,Ankavandra
Ann Airport,앤 공항,VBA,VYAN,아시아태평양,Myanmar,미얀마,Ann
Annaba Rabah Bitat Airport,안나바 라바 비타트 공항,AAE,DABB,중동아프리카,Algeria,알제리,Annaba
Annecy Haute Savoie Mont Blanc Airport,안시 몽블랑 공항,NCY,LFLP,유럽,France,프랑스,Annecy
Annobon Airport,아노본 공항,NBN,FGAN,중동아프리카,Equatorial Guinea,적도 기니,DePale
Anqing Tianzhushan Airport,안칭 티안주산 공항,AQG,ZSAQ,아시아태평양,China,중국,Anqing
Anshan Teng'ao Airport,안산 텅아오 공항,AOG,ZYAS,아시아태평양,China,중국,Anshan
Anshun Huangguoshu Airport,안순 황궈슈 공항,AVA,ZUAS,아시아태평양,China,중국,Anshun
Anta Airport,안타 공항,ATA,SPHZ,중남미,Peru,페루,Huaraz
Antalya Airport,안탈리아 공항,AYT,LTAI,유럽,Turkey,터키,Antalya
Antoine Simon Airport,앙투안 시몽 공항,CYA,MTCA,중남미,Haiti,아이티,Les Cayes
Antonio B. Won Pat International Airport,안토니오 B. 원 팻 국제공항,GUM,PGUM,아시아태평양,Guam,괌,Guam
Antonio Correia Pinto de Macedo Airport,안토니오 코레이아 핀토 데 마세도 공항,LAJ,SBLJ,중남미,Brazil,브라질,Lages
Antonio Jose de Sucre Airport,안토니오 호세 데 수크레 공항,CUM,SVCU,중남미,Venezuela,베네수엘라,Cumana
Antonio Maceo International Airport,안토니오 마세오 국제공항,SCU,MUCU,중남미,Cuba,쿠바,Santiago de Cuba
Antonio Narino Airport,안토니오 나리뇨 공항,PSO,SKPS,중남미,Colombia,콜롬비아,Pasto
Antonio Rivera RodrIguez Airport,안토니오 리베라 로드리게스 공항,VQS,TJVQ,중남미,Puerto Rico,푸에르토리코,Vieques
Antonio Roldan Betancourt Airport,안토니오 롤단 베탕쿠르 공항,APO,SKLC,중남미,Colombia,콜롬비아,Apartado
Antsirabato Airport,안시라바토 공항,ANM,FMNH,중동아프리카,Madagascar,마다가스카르,Antalaha
Antsirabe Airport,안트시라베 공항,ATJ,FMME,중동아프리카,Madagascar,마다가스카르,Antsirabe
Antwerp International Airport,앤트워프 국제 공항,ANR,EBAW,유럽,Belgium,벨기에,Antwerp
Anvik Airport,안빅 공항,ANV,PANV,북미캐나다,United States,미국,Anvik
Anyang Airport,안양공항,AYN,ZHAY,아시아태평양,China,중국,Anyang
Anyang Hongqiqu Airport,안양홍치취공항,HQQ,ZHQQ,아시아태평양,China,중국,Anyang
Aomori Airport,아오모리 공항,AOJ,RJSA,아시아태평양,Japan,일본,Aomori
Aosta Valley Airport,아오스타 밸리 공항,AOT,LIMW,유럽,Italy,이탈리아,Aosta
Apataki Airport,아파타키 공항,APK,NTGD,아시아태평양,French Polynesia,프랑스령 폴리네시아,Apataki
Apolo Airport,아폴로 공항,APB,SLAP,중남미,Bolivia,볼리비아,Apolo
Appleton International Airport,애플턴 국제공항,ATW,KATW,북미캐나다,United States,미국,Appleton
April Point Water Aerodrome,에이프릴 포인트 수상비행장,YQJ,n/a,북미캐나다,Canada,캐나다,Quadra Island
Aracati Airport,아라카티 공항,ARX,SBAC,중남미,Brazil,브라질,Aracati
Aracatuba Airport,아라사투바 공항,ARU,SBAU,중남미,Brazil,브라질,Aracatuba
Arad International Airport,아라드 국제공항,ARW,LRAR,유럽,Romania,루마니아,Arad
AraguaIna Airport,아라과이나 공항,AUX,SWGN,중남미,Brazil,브라질,AraguaIna
Arak Airport,아라크 공항,AJK,OIHR,중동아프리카,Iran,이란,Arak
Aransas County Airport,애런사스 카운티 공항,RKP,KRKP,북미캐나다,United States,미국,Rockport
Aranuka Buariki Airport,아라누카 부아리키 공항,AAK,NGUK,아시아태평양,Kiribati,키리바시,Aranuka Buariki
Arapongas Airport,아라퐁가스 공항,APX,SSOG,중남미,Brazil,브라질,Arapongas
